"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",-1.51452970085518,-83.3300860850667,-0.270548621357987,-38.8479280783513,-332.132791741975,2.11836308115531,-0.731368925570302,-0.748956380943578,-41.2830309073779,-1.0277344358495,0.199789720705952,-0.945248373554038,-0.267848224311019,-1.80929399765159,-1.62209405561921,-0.219785245618105,-1.25234319373165,-0.343772931671224,-3.45521074041897,-25.3217830493452,-4.33404632269644,0.273120107994057,-0.852488253984151,-1.79397563996894,-6.41961633917761,-11.0175883806011,-1.9607040824334,-25.7415867533786,-30.9420454619882,-23.6205946039349,-3.70968455628664,-19.9706050851366,-0.275357702341695,-13.6160554520463,-1.65141861936933,-10.6334415813924,-3.50382825406036,-576.633806505242,-5.50796489518194,565.298025113705
"2",-2.72093531212399,-130.170900433559,-0.505598793149897,-44.9301887641284,-330.149894984768,2.14125554099466,-0.912323772694616,-1.1879167069173,-38.5096063753668,-1.26083100398126,0.0257128668952476,-1.1473342116691,-0.457008555364491,-2.41583298029387,-2.3344872174786,-0.39421311522027,-1.67990664539242,-0.351341491879884,-3.43603830349454,-24.1454647660005,-4.32021361877368,0.258121344093589,-0.858347639872134,-1.88837773974406,-6.37559332838082,-10.9141727778744,-1.97259995848881,-25.4468509802595,-29.1200311594366,-23.454305599229,-4.34190724073352,-19.1607674527274,-0.27736088161347,-13.1217178800983,-1.49468187174788,-10.7896008198766,-3.62557279954862,-570.394123755702,-5.93124202201126,565.238274450406
"3",-2.57561036074585,-54.789003901986,-0.672758402426088,-93.4065097995114,-333.330083267199,2.58329399991968,-0.979292815969572,-1.08991520048182,-35.7400124138959,-1.32596178256731,-0.0208883937001713,-1.20941475667258,-0.514866616606323,-2.28041963536474,-2.06713282181632,-0.494039388420904,-1.51572811071995,-0.333327224601321,-3.43802725939091,-23.8008495741585,-4.24527322503818,0.271202618135059,-0.845254249708402,-1.83509175093423,-6.37778672221366,-10.9982340371791,-1.83694673581506,-25.7915652114305,-28.1656451847476,-18.4516137376527,-3.10793254454519,-16.5854605236597,-0.274440489070336,-12.3059974004684,-1.70532207916065,-8.91868985898446,-3.17572623941225,-573.754407884677,-4.08552410771211,565.116858043445
"4",-1.48121904640259,-6.28039402991985,-0.717411367130922,-29.583123903807,-375.863410747737,3.76906335709247,-0.77791484967332,-0.679408483701868,-4.73748704623879,-1.02234877159092,0.6289443175145,-0.980351022467545,-0.18431442537554,-1.65044707070305,-1.28107882982985,-0.436358230149439,-1.0653972201593,-0.244181246205802,-3.35997267325873,-24.9112936092282,-3.7841608597388,0.317690897391997,-0.774728584474476,-1.54837006521773,-6.16543337182332,-10.9492775180973,-1.3278314061176,-25.9045081900057,-22.6317285425312,-18.9912702113061,-3.32725949061014,-13.7900341119458,-0.195345611413838,-8.68730930366878,-3.97582131846174,-8.15284764593908,-2.33731560488451,-598.144757537691,-4.59934751222071,565.544035012366
"5",-4.6015064146216,-120.787396024061,-1.061262807866,-107.407516313376,-332.689211140784,4.0620992686332,-1.21953028924463,-1.44078921150354,-36.6294468367122,-1.47457385976259,-0.261482472841785,-1.44929902428795,-0.7037751469812,-2.82508285979919,-2.73421797059888,-0.784907168958957,-2.24932578756417,-0.337019657749858,-3.45595044345942,-24.4217837987417,-4.3678676025322,0.250222185578886,-0.844224130811678,-1.95832429213646,-6.40590448657613,-10.9600107549245,-1.87369171382898,-25.8667433897408,-27.6411087005803,-19.4736617758189,-3.33039875145883,-18.3736377125599,-0.237258295582584,-12.1786380118891,-2.13331992069085,-9.18556514582385,-3.22767319826406,-577.194880972021,-4.18572077731795,565.144492813189
"6",-2.55195860785866,-24.9675535119098,-0.393999485054186,-39.2767704117814,-348.646010230529,2.7184486130645,-0.768656109363193,-0.945047633393492,-41.4631959258085,-1.16907572368758,0.603699139994082,-0.997062936549618,-0.246167285157326,-2.06903403494434,-1.82128888729062,-0.312074646243677,-1.35347168729918,-0.288907276942372,-3.37996296886392,-24.6885002204903,-3.9950154959202,0.306940715680662,-0.811649020041378,-1.76037002191973,-6.21601485891247,-10.8413467272266,-1.5429058024759,-25.4889982192435,-25.6676650601362,-18.9548903625139,-3.37380204205489,-15.4246827125792,-0.261857740536388,-10.9553431039332,-1.89291131866535,-8.92320817343866,-2.98349408790806,-541.498495197656,-4.62119319663357,565.091839764355
"7",-3.83937091059674,-51.7523997325962,-1.39759149392118,-97.590405545342,-354.035082976084,4.30491771689786,-1.3612972255698,-1.42613324440087,-36.6501299393214,-1.61030602016492,-0.413798483401336,-1.59395812460968,-0.830561733963645,-2.79519672343046,-2.53685812637104,-0.942547813033235,-2.16677396906598,-0.329871883118759,-3.45219272232303,-24.4601199976764,-4.32475050543047,0.25028235520479,-0.840146543158633,-1.89332709891819,-6.39214806930469,-11.0627695447491,-1.79656588227261,-25.9493516526664,-27.28731557852,-19.7031116542944,-3.22686174660622,-17.9345350674133,-0.239823746956424,-11.6225339350415,-2.29947515696758,-8.94953883278364,-3.02239850144992,-578.070486577136,-4.17273343902105,565.192309527855
"8",-1.37123732638878,-16.7528599470936,0.17392542844665,-55.1382682787918,-516.232509269466,2.51670067007887,-0.412993964087789,-0.405825799818789,-15.6518251399399,-0.606617927608613,1.18232496893536,-0.611744774783748,0.222196891290985,-1.32705064447555,-1.10507305726498,0.0499333540622097,-0.837577406813851,-0.332487858990847,-3.46954814317212,-24.1170786240871,-4.42000661567735,0.253742883204206,-0.844454905947152,-1.91341011021648,-6.49108419383241,-11.1677374007892,-1.75068928122517,-26.2315854538352,-26.8286276942963,-16.797430540202,-2.57870980999122,-16.6794792951426,-0.252065300005512,-11.2948677341899,-3.1164480872061,-7.95485950155883,-2.82320580154199,-618.093441349704,-3.38532938919604,565.6028754382
"9",-2.67275858848482,-31.6795776009746,-0.602256487971201,-48.9765870544927,-329.08423890818,3.26051129126557,-0.892087949420991,-0.959875011570691,-35.7713578180556,-1.21898956012071,0.214169372605712,-1.11103426246105,-0.376861563702375,-2.11507246883119,-1.86309862407964,-0.450368191536388,-1.50261121074955,-0.307926650400338,-3.40907585749231,-24.1926223665423,-4.13927793078045,0.283976253766234,-0.825931918537927,-1.79820391761432,-6.32265851595173,-10.9703156044031,-1.67659726657773,-25.4018461685983,-27.1553029654958,-19.8071410592089,-3.33048430629084,-16.9347361750831,-0.257738730534757,-11.5236075836704,-2.04858640433868,-9.13216213430009,-3.03528936944366,-572.056118989737,-4.57071094539034,565.106173249661
"10",-1.73373530596541,-23.3201924346437,-0.638327879236077,-59.4242492293359,-329.523005916002,2.67622890190249,-0.872790620024384,-0.859388595384963,-33.045462016907,-1.09162647015042,0.0222103854746874,-1.08807398034884,-0.372940806313843,-1.91071166360406,-1.63818251066283,-0.445024767948793,-1.27829251039717,-0.339984462794431,-3.45999596920616,-24.2753801328303,-4.37513903422468,0.249961409270492,-0.849334249597682,-1.86129985050614,-6.44572606044493,-11.1128576039903,-1.82818978818149,-26.0775164710737,-27.8574379375403,-19.2355937887849,-2.96556530408887,-17.7030638909,-0.261030884582506,-11.7774553273291,-2.33917036489799,-8.90472392776104,-3.02600902374182,-572.585582754503,-4.23701998604878,565.111982208993
"11",-1.89534651860505,-21.5209765231159,0.0680824559464418,-52.8382711286574,-359.213097524159,2.5891952859663,-0.480069116397155,-0.597373971923411,-36.5267346405255,-0.706396670355282,1.19499955178654,-0.691825640011147,0.151997089072577,-1.56045461690477,-1.34928005710247,-0.0288649963804041,-1.02499239536653,-0.323192145091583,-3.43871691077147,-24.5300755284578,-4.3229786112084,0.263595842567804,-0.837192680668,-1.90527747708748,-6.40726964750558,-11.0638013903259,-1.68000058946027,-25.9895817239489,-26.1443792391233,-16.8009815577294,-2.7130870868857,-16.3252118738974,-0.253011424433036,-11.0818824442213,-3.00603318591521,-8.09487356895544,-2.86306676127724,-571.889708960042,-3.5631440249293,565.274912144748
"12",-3.79273256058873,-29.9011117106931,-0.686578770107375,-110.014187043085,-357.175869650944,3.98412020519738,-0.860820727049503,-1.11222317486611,-37.566834448808,-1.10374423246816,0.410775871284927,-1.09792530547984,-0.241451418125229,-2.24424680062539,-1.97441765145843,-0.484773543542094,-1.56786240329571,-0.299029291765753,-3.41114493186866,-24.1510687756168,-4.18252486507996,0.276637953721624,-0.81765871739119,-1.84011899068701,-6.31246527871573,-10.9793239349262,-1.54948812912399,-25.6198945404707,-24.5477451601251,-14.9800381591026,-2.55413709565132,-15.145832269739,-0.231490155816271,-10.1871520297924,-3.63729198802765,-7.44723341089552,-2.68959720574194,-582.05290560739,-3.23792948398342,565.260666504131
"13",-2.3047841799136,-15.6141100299022,-0.680226356059718,-51.3194091104732,-340.243688857264,3.75725788073055,-0.867746532863197,-0.840750814079584,-15.8970282199052,-1.17669923037923,0.378800332913887,-1.08169078147099,-0.314961365992629,-1.93242748473878,-1.62694658131293,-0.473824789667408,-1.32230253624237,-0.275441873613115,-3.39268397721731,-24.616403527554,-3.97772162975487,0.303676392567987,-0.800400516515232,-1.70554938868212,-6.26979204525457,-10.9691538407203,-1.48494228474718,-25.9314262990854,-25.1759697236374,-17.2825690439281,-2.75386700902984,-14.7909011532428,-0.238294501373537,-10.1941090239234,-2.62187253645755,-8.00157416202357,-2.6176767820303,-577.692641550804,-3.72682113282929,565.125158037658
"14",-3.26001798784458,-90.7715770559564,-0.186097489873506,-119.764056334869,-345.222587727891,2.30389594332726,-0.713527850933051,-1.09000913816005,-45.7481800835084,-1.06108616733145,0.51826170227348,-0.945477888810804,-0.210525142952268,-2.22826698553001,-2.09567275647487,-0.214736380293485,-1.42606000147063,-0.323695506901137,-3.41752499410807,-24.0156756971768,-4.20030235084928,0.282026228406101,-0.836425415763038,-1.86920820713443,-6.3233142778791,-10.8886179263832,-1.76660419636319,-25.2273457897712,-26.874469734275,-16.9297417329469,-3.10675271784856,-16.1269371658131,-0.267480773611579,-12.0198421704495,-1.89395562808987,-8.6210055816414,-3.23408150437114,-576.622006680908,-3.88199691272828,565.3339781711
"15",-2.77488744453774,-20.6911502741905,-0.730001100970373,-31.7448280214799,-327.977782449487,2.38607902475664,-0.896532219572542,-1.2918992708852,-36.0631051206746,-1.33228440545785,0.397634200669059,-1.16506109599707,-0.363278127938765,-2.43194575793418,-2.07891467012776,-0.439893503586764,-1.47784241168641,-0.273827625607686,-3.35679050431139,-24.5937027348834,-3.88400251280461,0.325576598429095,-0.799127718985595,-1.6806348288728,-6.14217700425916,-10.7616839330882,-1.44384248893512,-24.8830025108282,-24.7775959767633,-21.5922470792949,-4.37002020236798,-15.1585891366816,-0.252827439077244,-10.3348445714799,-1.87246510986918,-9.83998790425898,-3.04897581164679,-570.598683137919,-6.40360065340119,565.114862354437
"16",-3.02419569032139,-141.368221428555,-0.856384512531051,-79.4666279985967,-334.03639227431,3.23927986376422,-1.16285151496385,-1.13787053688506,-37.2804268552384,-1.5718561142217,-0.222493167038587,-1.37227254064258,-0.736932793078257,-2.47087048184218,-2.33482605589772,-0.649827133537739,-1.85788918351027,-0.339761021162987,-3.46548529571454,-24.1373494842366,-4.25350340905369,0.265026884656526,-0.850496929035972,-1.84509095750483,-6.44287994802033,-11.0175687170358,-1.97114608579869,-25.9187477498353,-29.2807057805955,-21.8132206547677,-3.55187244140296,-18.0709290516625,-0.266246726299408,-13.1637678255665,-1.41061680066046,-9.89773234040146,-3.38765790880104,-572.881324617817,-4.67601290050137,565.175810720568
"17",-1.29590905300362,-10.5170541245588,0.191183987989703,-39.9598421410907,-340.325609037458,2.62811931200827,-0.344970404936511,-0.354336670908275,-35.0155282863182,-0.526304870228394,2.06816012752614,-0.550511144102977,0.399138687619585,-1.23644316687161,-0.975713212196489,0.103743345208989,-0.71776525292602,-0.31683646965789,-3.43946725580311,-24.2862952289868,-4.34408442669149,0.26101956297769,-0.832949350771264,-1.84538326258252,-6.42762118005887,-11.1337816127745,-1.62518811045188,-26.1276600953201,-25.4247813387882,-16.0973273529401,-2.47566442824204,-16.0160178492675,-0.242471363444648,-10.4017622520359,-4.14479767044895,-7.68171098626137,-2.65857433299436,-569.30390765196,-3.39218908713684,565.155063092097
"18",-3.70506968282293,-25.352080267747,-0.474975610543554,-56.7708631114673,-327.655099098053,3.52639667893501,-0.718868070281043,-1.10876192895742,-35.2392968937187,-0.954246614470899,0.851342616096945,-0.961604348510873,-0.0500688022610909,-2.17607431098945,-1.89353450659844,-0.350423302798158,-1.48247963039546,-0.293716077939116,-3.38986733922793,-24.8409218767914,-4.13746416550195,0.279995250498483,-0.812921483617657,-1.82191873943156,-6.26654046267944,-10.9131649676754,-1.48245921137992,-25.4273740764843,-23.8236895346559,-15.557482527362,-2.81836332291919,-15.4062065060865,-0.228642796514958,-9.8445327085485,-4.20411956360302,-7.82661926051413,-2.72342380510409,-572.290608506417,-3.68335991253669,565.073919176445
"19",-4.3312238729553,-131.695281177815,-1.26523695793413,-102.355951192475,-363.588663384836,3.35747901422984,-1.36675872213548,-1.58961240082032,-35.8851293972326,-1.7361835632781,-0.417712298083688,-1.61247128604686,-0.89204304000972,-3.05531290847057,-2.93813749391819,-0.866747670149573,-2.26510946964008,-0.338042092001758,-3.43817925958182,-24.1014400730263,-4.25537610483196,0.260950428265069,-0.846700896673509,-1.86554350868574,-6.36392776307607,-10.9320376540779,-1.90481108003461,-25.553368612539,-28.3739860207485,-20.5467464542477,-3.63156396188572,-17.9546994589066,-0.259717539576045,-12.6029388278402,-1.6006817277379,-9.66468702704534,-3.36839068443676,-585.296822511074,-4.73100640513721,565.133297297087
"20",-1.46028932732026,-14.4539180237913,-0.676270523044651,-51.5075319433316,-332.103352341395,3.0907346844041,-0.869475088349599,-0.710699045406955,-34.6088006903266,-1.11462561387212,0.0647506207782291,-1.07076966844726,-0.368785281123427,-1.74899025922606,-1.42298606999866,-0.451393873468626,-1.12866013357671,-0.321678510781262,-3.45238995031546,-24.3488714661265,-4.27145338932335,0.266064196313469,-0.838629174325892,-1.77111005790879,-6.43912927468937,-11.1386430396279,-1.74330628880053,-26.2794530712999,-28.1089527860832,-19.1589718950228,-2.76720173683205,-16.8103399450144,-0.262285521085125,-11.4163540681616,-2.32576145257347,-8.59971193442851,-2.80408920244365,-571.971130962365,-4.05052345583015,565.102829402051
